source,target,interaction,id,gpc,basic,hinku,alas,secap,hiv,scope,indices,description,Unit
Modal share of transport,Energy use from transportation,increases,graph27,,indicator,,,,,,"mode, transboundary",,%
Energy efficiency of transport modes,Energy use from transportation,increases,graph28,,variable,,,,,,"mode, fuel",,g/person-km
Energy use from transportation,Emissions from transportation,increases,graph29,,indicator,,,,,,,,
Emission factors of transport modes,Emissions from transportation,increases,graph30,,variable,,,,,,"mode, fuel, gas",,g/MJ
Amount of waste,Emissions from waste,increases,graph31,,variable,,,,,,"treatment, transboundary",,kt
Emission factors of waste treatment,Emissions from waste,increases,graph32,,variable,,,,,,"treatment, gas",,g/ton
Number of farm animals,Emissions from AFOLU,increases,graph33,,variable,,,,,,species,,#
Land area,Emissions from AFOLU,increases,graph34,,variable,,,,,,landuse,,ha
Emission factors of AFOLU,Emissions from AFOLU,increases,graph35,,variable,,,,,,"species, landuse, gas, source",,"g/#/a, g/ha/a"
Global warming potential,GHG emissions from heating of stationary sources,increases,graph36,,variable,,,,,,emission,parent to all GHG emission indicators,dimensionless
Global warming potential,GHG emissions from consumer electricity,increases,hide,,variable,,,,,,,,
Global warming potential,GHG emissions from transportation,increases,hide,,variable,,,,,,,,
Global warming potential,GHG emissions from waste,increases,hide,,variable,,,,,,,,
Global warming potential,GHG emissions from IPPU,increases,hide,,variable,,,,,,,,
Global warming potential,GHG emissions from AFOLU,increases,hide,,variable,,,,,,,,
Territorial GHG emissions from energy production,,,graph42,,variable,,,,,,"source, fuel",,kt CO2e /a
Territorial energy production,Territorial GHG emissions from energy production,increases,graph43,,objective,,,,,,"product, fuel",,MWh/a 
Municipal purchases of green electricity,Territorial energy production,part of,graph44,,variable,,,,,,product,,MWh/a 
Green electricity production,Territorial energy production,part of,graph45,,variable,,,,,,"product, fuel",,MWh/a 
CHP production,Territorial energy production,part of,graph46,,variable,,,,,,"product, fuel",,MWh/a 
Other district heat production,Territorial energy production,part of,graph47,,variable,,,,,,"product, fuel",,MWh/a 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
GPC protocol,,,,,,,,,,,,,
Stationary energy,päästösektori,alajoukko,gpcI,I,,,,,,,,kiinteät päästölähteet,
Residential buildings,kiinteät päästölähteet,alajoukko,gpcI.1,I.1,,,"Rakennusten lämmitys-Asuminen, Kulutussähkö-Asuminen",Residential buildings,,,,Asuinrakennukset,
Emissions from fuel combustion within the city boundary,päästösektori kulutusperusteinen,alajoukko,gpcI.1.1,I.1.1,basic,,"Muu lämmitys, Puulämmitys, Öljylämmitys",,,1,,Polttoprosessit kaupungissa,
Emissions from grid-supplied energy consumed within the city boundary,päästösektori kulutusperusteinen,alajoukko,gpcI.1.2,I.1.2,basic,,"Kaukolämpö, Maalämpö, Sähkölämmitys",,,2,,Energiankäyttö verkosta kaupungissa,
Emissions from transmission and distribution losses from grid-supplied energy consumption,päästösektori kulutusperusteinen,alajoukko,gpcI.1.3,I.1.3,basic+,,,,,3,,Päästöt verkon häviöistä,
Commercial and institutional buildings and facilities,kiinteät päästölähteet,alajoukko,gpcI.2,I.2,,,"Rakennusten lämmitys-Palvelut, Kulutussähkö-Palvelut","Municipal buildings equipment and facilities, Tertiary b e f, Public lighting",,,,Kaupalliset ja yhteisölliset rakennukset,
Emissions from fuel combustion within the city boundary,päästösektori kulutusperusteinen,alajoukko,gpcI.2.1,I.2.1,basic,,"Muu lämmitys, Puulämmitys, Öljylämmitys",,,1,,Polttoprosessit kaupungissa,
Emissions from grid-supplied energy consumed within the city boundary,päästösektori kulutusperusteinen,alajoukko,gpcI.2.2,I.2.2,basic,,"Kaukolämpö, Maalämpö, Sähkölämmitys",,,2,,Energiankäyttö verkosta kaupungissa,
Emissions from transmission and distribution losses from grid-supplied energy consumption,päästösektori kulutusperusteinen,alajoukko,gpcI.2.3,I.2.3,basic+,,,,,3,,Päästöt verkon häviöistä,
Manufacturing industries and construction,kiinteät päästölähteet,alajoukko,gpcI.3,I.3,,,"Rakennusten lämmitys-Teollisuus, Kulutussähkö-Teollisuus","Industry non-ETS, Industry ETS",,,,Valmistusprosessit ja rakentaminen,
Emissions from fuel combustion within the city boundary,päästösektori kulutusperusteinen,alajoukko,gpcI.3.1,I.3.1,basic,,"Muu lämmitys, Puulämmitys, Öljylämmitys",,,1,,Polttoprosessit kaupungissa,
Emissions from grid-supplied energy consumed within the city boundary,päästösektori kulutusperusteinen,alajoukko,gpcI.3.2,I.3.2,basic,,"Kaukolämpö, Maalämpö, Sähkölämmitys",,,2,,Energiankäyttö verkosta kaupungissa,
Emissions from transmission and distribution losses from grid-supplied energy consumption,päästösektori kulutusperusteinen,alajoukko,gpcI.3.3,I.3.3,basic+,,,,,3,,Päästöt verkon häviöistä,
