source,target,interaction,id,gpc,basic,hinku,alas,secap,hiv,scope,indices,description,Unit
Energy industries,kiinteät päästölähteet,alajoukko,gpcI.4,I.4,,,?,"Local and distributed renewable electricity production, Municipal purchases of green electricity, Local and distributed electricity production from CHP renewable and non-renewable, Local heat and cold production from CHP and district heating from renewable and non-renewable",,,,Energia-ala,
Emissions from energy used in power plant auxiliary operations within the city boundary,päästösektori kulutusperusteinen,alajoukko,gpcI.4.1,I.4.1,basic,,,,,1,,Energiantuotannon apuprosessit kaupungeissa,
Emissions from grid-supplied energy consumed in power plant auxiliary operations within the city boundary,päästösektori kulutusperusteinen,alajoukko,gpcI.4.2,I.4.2,basic,,,,,2,,Energiankäyttö verkosta energiantuotannon apuprosesseissa kaupungeissa,
Emissions from transmission and distribution losses from grid-supplied energy consumption in power plant auxiliary operations,päästösektori kulutusperusteinen,alajoukko,gpcI.4.3,I.4.3,basic+,,,,,3,,Verkon häviöt voimalaitosten apuprosesseissa,
Emissions from energy generation supplied to the grid,päästösektori tuotantoperusteinen,alajoukko,gpcI.4.4,I.4.4,territorial,,"Kaukolämpö, Sähköntuotanto, Tuulivoima. HUOM! Tämä ei summaudu yhteen muiden kanssa.",,,1,,Verkkoon tuotetun energian päästöt,
"Agriculture, forestry and fishing activities",kiinteät päästölähteet,alajoukko,gpcI.5,I.5,,,"Rakennusten lämmitys-Maatalous, Kulutussähkö-Maatalous",,,,,"Maa- , metsä- ja kalatalous",
Emissions from fuel combustion within the city boundary,päästösektori kulutusperusteinen,alajoukko,gpcI.5.1,I.5.1,basic,,"Muu lämmitys, Puulämmitys, Öljylämmitys",,,1,,Polttoprosessit kaupungissa,
Emissions from grid-supplied energy consumed within the city boundary,päästösektori kulutusperusteinen,alajoukko,gpcI.5.2,I.5.2,basic,,"Kaukolämpö, Maalämpö, Sähkölämmitys",,,2,,Energiankäyttö verkosta kaupungissa,
Emissions from transmission and distribution losses from grid-supplied energy consumption,päästösektori kulutusperusteinen,alajoukko,gpcI.5.3,I.5.3,basic+,,,,,3,,Päästöt verkon häviöistä,
Non-specified sources,kiinteät päästölähteet,alajoukko,gpcI.6,I.6,,,,,,,,Erittelemättömät lähteet,
Emissions from fuel combustion within the city boundary,päästösektori kulutusperusteinen,alajoukko,gpcI.6.1,I.6.1,basic,,,,,1,,Polttoprosessit kaupungissa,
Emissions from grid-supplied energy consumed within the city boundary,päästösektori kulutusperusteinen,alajoukko,gpcI.6.2,I.6.2,basic,,,,,2,,Energiankäyttö verkosta kaupungissa,
Emissions from transmission and distribution losses from grid-supplied energy consumption,päästösektori kulutusperusteinen,alajoukko,gpcI.6.3,I.6.3,basic+,,,,,3,,Päästöt verkon häviöistä,
"Fugitive emissions from mining, processing, storage, and transportation of coal",kiinteät päästölähteet,alajoukko,gpcI.7,I.7,,,-,,,,,Hajapäästöt hiilen tuotannossa,
Emissions from fugitive emissions within the city boundary,päästösektori kulutusperusteinen,alajoukko,gpcI.7.1,I.7.1,basic,,,,,1,,Kaupunkien hajapäästöt,
Fugitive emissions from oil and natural gas systems,kiinteät päästölähteet,alajoukko,gpcI.8,I.8,,,-,,,,,Hajapäästöt öljystä ja maakaasusta,
Emissions from fugitive emissions within the city boundary,päästösektori kulutusperusteinen,alajoukko,gpcI.8.1,I.8.1,basic,,,,,1,,Kaupunkien hajapäästöt,
Transportation,päästösektori,alajoukko,gpcII,II,,,,,,,,liikenne,
On-road transportation,liikenteen päästölähteet,alajoukko,gpcII.1,II.1,,,Tieliikenne,"Municipal fleet, Private and commercial transport, Public transport/Buses",,,,Tieliikenne,
Emissions from fuel combustion on-road transportation occurring within the city boundary,päästösektori kulutusperusteinen,alajoukko,gpcII.1.1,II.1.1,basic,,Kaikki,,,1,,Polttoaineen kulutuksen päästöt kaupunkien tieliikenteessä,
Emissions from grid-supplied energy consumed within the city boundary for on-road transportation,päästösektori kulutusperusteinen,alajoukko,gpcII.1.2,II.1.2,basic,,,,,2,,Verkkosähkön päästöt kaupunkien tieliikenteessä,
"Emissions from portion of transboundary journeys occurring outside the city boundary, and transmission and distribution losses from grid-supplied energy consumption",päästösektori kulutusperusteinen,alajoukko,gpcII.1.3,II.1.3,basic+,,,,,3,,"Päästöt kaupunginrajan ylittävissä matkoissa, sekä häviöt verkossa",
Railways,liikenteen päästölähteet,alajoukko,gpcII.2,II.2,,,Raideliikenne,"Public transport/rail, Private and commercial transport/Rail",,,,Raideliikenne,
Emissions from fuel combustion for railway transportation occurring within the city boundary,päästösektori kulutusperusteinen,alajoukko,gpcII.2.1,II.2.1,basic,,Diesel,,,1,,Päästöt raideliikenteen polttoaineista kaupungeissa,
Emissions from grid-supplied energy consumed within the city boundary for railways,päästösektori kulutusperusteinen,alajoukko,gpcII.2.2,II.2.2,basic,,"Sähkö, Lähijunat, Metrot ja raitiovaunut",,,2,,Päästöt verkon energiasta kaupungin raideliikenteessä,
"Emissions from portion of transboundary journeys occurring outside the city boundary, and transmission and distribution losses from grid-supplied energy consumption",päästösektori kulutusperusteinen,alajoukko,gpcII.2.3,II.2.3,basic+,,,,,3,,"Päästöt kaupunginrajan ylittävissä matkoissa, sekä häviöt verkossa",
Waterborne navigation,liikenteen päästölähteet,alajoukko,gpcII.3,II.3,,,Vesiliikenne,-,,,,Vesiliikenne,
Emissions from fuel combustion for waterborne navigation occurring within the city boundary,päästösektori kulutusperusteinen,alajoukko,gpcII.3.1,II.3.1,basic,,Kaikki,,,1,,Vesiliikenteen polttoaineen kulutuksen päästöt kaupungissa,
Emissions from grid-supplied energy consumed within the city boundary for waterborne navigation,päästösektori kulutusperusteinen,alajoukko,gpcII.3.2,II.3.2,basic,,,,,2,,Verkkosähkön päästöt kaupunkien vesiliikenteessä,
"Emissions from portion of transboundary journeys occurring outside the city boundary, and transmission and distribution losses from grid-supplied energy consumption",päästösektori kulutusperusteinen,alajoukko,gpcII.3.3,II.3.3,basic+,,,,,3,,"Päästöt kaupunginrajan ylittävissä matkoissa, sekä häviöt verkossa",
Aviation,liikenteen päästölähteet,alajoukko,gpcII.4,II.4,,,-,-,,,,Lentäminen,
Emissions from fuel combustion for aviation occurring within the city boundary,päästösektori kulutusperusteinen,alajoukko,gpcII.4.1,II.4.1,basic,,,,,1,,Lentämisen polttoainepäästöt kaupungeissa,
