"","url","type","object_id","name","id","identifier","indicator_level","time_resolution","latest_value.value","latest_value.date","latest_value.unit"
"145","https://aplans.api.hel.ninja/v1/indicator/392/","indicator",392,"Suunnitellut baana- ja pyöräliikenteen pääväylät","i392",NA,"operational","year",2.400000e+01,2019-12-31,km
"146","https://aplans.api.hel.ninja/v1/action/292/","action",292,"Pyöräliikenteen baanaverkko","a292","3",NA,NA,NA,NA,NA
"147","https://aplans.api.hel.ninja/v1/indicator/34/","indicator", 34,"Pyöräliikenteen baanaverkon toteutunut pituus","i34",NA,"operational","year",6.000000e+00,2019-12-31,km
"148","https://aplans.api.hel.ninja/v1/action/293/","action",293,"Pyörätieverkon talvihoidon korkea taso","a293","4",NA,NA,NA,NA,NA
"149","https://aplans.api.hel.ninja/v1/indicator/185/","indicator",185,"Priorisoidun talvihoidon piirissä olevat pyörätiet","i185",NA,"operational","year",3.200000e+01,2018-12-31,km
"150","https://aplans.api.hel.ninja/v1/action/294/","action",294,"Miellyttävä ja turvallinen kävely-ympäristö","a294","5",NA,NA,NA,NA,NA
"151","https://aplans.api.hel.ninja/v1/indicator/375/","indicator",375,"Kävelyn edistämisohjelma on valmistunut","i375",NA,"","year",NA,NA,NA
"152","https://aplans.api.hel.ninja/v1/action/295/","action",295,"Pyöräilyyn liittyvät palvelut","a295","6",NA,NA,NA,NA,NA
"153","https://aplans.api.hel.ninja/v1/action/296/","action",296,"Raitioliikenteen kehittämisohjelma","a296","7",NA,NA,NA,NA,NA
"154","https://aplans.api.hel.ninja/v1/action/297/","action",297,"Kestävä liikenne ja maankäytön suunnittelu","a297","8",NA,NA,NA,NA,NA
"155","https://aplans.api.hel.ninja/v1/indicator/335/","indicator",335,"Täydennysrakennuskohteiden osuus kaikesta asemakaavoituksesta","i335",NA,"","year",NA,NA,NA
"156","https://aplans.api.hel.ninja/v1/action/298/","action",298,"Pyöräliikenteen kehittämisohjelma ja polkupyörien pysäköinnin kehittämisohjelma","a298","9",NA,NA,NA,NA,NA
"157","https://aplans.api.hel.ninja/v1/action/299/","action",299,"Ajoneuvoliikenteen hinnoittelujärjestelmä","a299","10",NA,NA,NA,NA,NA
"158","https://aplans.api.hel.ninja/v1/indicator/374/","indicator",374,"Selvitys on valmis","i374",NA,"operational","year",NA,NA,NA
"159","https://aplans.api.hel.ninja/v1/action/300/","action",300,"Pysäköintipolitiikka ja pysäköinnin hinnoittelu","a300","11",NA,NA,NA,NA,NA
"160","https://aplans.api.hel.ninja/v1/indicator/333/","indicator",333,"Tehtävä on valmis","i333","Tehtävä on valmis","operational","year",NA,NA,NA
"161","https://aplans.api.hel.ninja/v1/action/304/","action",304,"Pysäköintinormin uudistaminen","a304","15",NA,NA,NA,NA,NA
"162","https://aplans.api.hel.ninja/v1/action/306/","action",306,"Ympäristövyöhykkeen kehittäminen","a306","17",NA,NA,NA,NA,NA
"163","https://aplans.api.hel.ninja/v1/indicator/364/","indicator",364,"Ympäristövyöhykkeen kehittämisen toimenpiteet tunnistettu","i364",NA,"operational","year",NA,NA,NA
"164","https://aplans.api.hel.ninja/v1/action/307/","action",307,"Sähköisten henkilöautojen julkisen latausinfran rakentaminen","a307","18",NA,NA,NA,NA,NA
"165","https://aplans.api.hel.ninja/v1/action/308/","action",308,"Kuljetusten ja työkoneurakoiden hankintakriteerit","a308","19",NA,NA,NA,NA,NA
"166","https://aplans.api.hel.ninja/v1/indicator/391/","indicator",391,"Kalustoon ja kuljetuspalveluihin liittyvät kriteeristöt päivitetty","i391","Kaluston ja kuljetuspalveluiden kriteerit","","year",NA,NA,NA
"167","https://aplans.api.hel.ninja/v1/action/309/","action",309,"Kuljetuskaluston ja käyttövoimien hankintakriteerit","a309","20",NA,NA,NA,NA,NA
"168","https://aplans.api.hel.ninja/v1/indicator/369/","indicator",369,"Käytetyn uusiutuvan polttoaineen osuus","i369",NA,"operational","year",NA,NA,NA
"169","https://aplans.api.hel.ninja/v1/action/310/","action",310,"Kaupunkilogistiikka ja jakeluliikenne","a310","21",NA,NA,NA,NA,NA
"170","https://aplans.api.hel.ninja/v1/action/311/","action",311,"Bussikaluston päästöttömyyden edistäminen","a311","22",NA,NA,NA,NA,NA
"171","https://aplans.api.hel.ninja/v1/indicator/256/","indicator",256,"Osuus kilpailutettavasta bussiliikennekalustosta, jossa vaaditaan sähköbusseja","i256",NA,"operational","year",NA,NA,NA
"172","https://aplans.api.hel.ninja/v1/indicator/257/","indicator",257,"Osuus kilpailutettavasta bussiliikennekalustosta, jossa vaaditaan biopolttoaineiden käyttöä","i257",NA,"operational","year",NA,NA,NA
"173","https://aplans.api.hel.ninja/v1/action/312/","action",312,"Bussien latausinfra","a312","23",NA,NA,NA,NA,NA
"174","https://aplans.api.hel.ninja/v1/indicator/367/","indicator",367,"Bussien latausinfran määrä","i367",NA,"operational","year",NA,NA,NA
"175","https://aplans.api.hel.ninja/v1/action/313/","action",313,"Hiilineutraali Satama 2035 -toimenpideohjelma","a313","24",NA,NA,NA,NA,NA
"176","https://aplans.api.hel.ninja/v1/action/314/","action",314,"Länsisataman liikenteen sujuvoittaminen","a314","25",NA,NA,NA,NA,NA
"177","https://aplans.api.hel.ninja/v1/indicator/376/","indicator",376,"Jätkäsaaren infra sovitun mukaisesti valmiina","i376",NA,"","year",NA,NA,NA
"178","https://aplans.api.hel.ninja/v1/indicator/377/","indicator",377,"Raskaan liikenteen kasvihuonekaasupäästöt","i377",NA,"","year",NA,NA,NA
"179","https://aplans.api.hel.ninja/v1/action/316/","action",316,"Uudet liikkumispalvelut","a316","27",NA,NA,NA,NA,NA
"180","https://aplans.api.hel.ninja/v1/indicator/368/","indicator",368,"Liikkumispalveluiden määrä","i368",NA,"operational","year",NA,NA,NA
"181","https://aplans.api.hel.ninja/v1/action/317/","action",317,"Älyliikenne Helsingissä -toimenpideohjelma","a317","28",NA,NA,NA,NA,NA
"182","https://aplans.api.hel.ninja/v1/action/318/","action",318,"Kestävien liikkumismuotojen edistäminen viestinnällä","a318","29",NA,NA,NA,NA,NA
"183","https://aplans.api.hel.ninja/v1/action/319/","action",319,"Liikkumissuunnitelmat","a319","30",NA,NA,NA,NA,NA
"184","https://aplans.api.hel.ninja/v1/indicator/338/","indicator",338,"Yritykset, joissa tehty liikkumissuunnitelma (koko Helsinki)","i338",NA,"operational","year",1.400000e+01,2019-12-31,pcs
"185","https://aplans.api.hel.ninja/v1/indicator/337/","indicator",337,"Työntekijät, joita liikkumissuunnitelma koskee (koko Helsinki)","i337",NA,"operational","year",7.312000e+03,2019-12-31,pcs
"186","https://aplans.api.hel.ninja/v1/action/321/","action",321,"Hukkalämpöjen talteenotto","a321","32",NA,NA,NA,NA,NA
"187","https://aplans.api.hel.ninja/v1/indicator/77/","indicator", 77,"Tunnistettu hukkalämpö- tai lämmöntalteenoton energiansäästöpotentiaali","i77",NA,"operational","year",NA,NA,NA
"188","https://aplans.api.hel.ninja/v1/indicator/78/","indicator", 78,"Toteutunut energiansäästö hukkalämpö- tai lämmöntalteenottokohteista","i78",NA,"operational","year",NA,NA,NA
"189","https://aplans.api.hel.ninja/v1/action/324/","action",324,"Kysyntäjouston pilotointi","a324","35",NA,NA,NA,NA,NA
"190","https://aplans.api.hel.ninja/v1/action/326/","action",326,"Uusiutuvan energian lisääminen kaupungin rakennuskannassa","a326","37",NA,NA,NA,NA,NA
"191","https://aplans.api.hel.ninja/v1/action/327/","action",327,"Rakentamisen ja ylläpidon hankintakriteerit","a327","38",NA,NA,NA,NA,NA
"192","https://aplans.api.hel.ninja/v1/indicator/378/","indicator",378,"Lämmön kokonaiskulutus","i378","Lämmön kokonaiskulutus","","year",NA,NA,NA
"193","https://aplans.api.hel.ninja/v1/action/328/","action",328,"Osaamisen kasvattaminen rakentamisessa","a328","39",NA,NA,NA,NA,NA
"194","https://aplans.api.hel.ninja/v1/indicator/390/","indicator",390,"Toteutettujen rakentamisen hankintojen kehitysprojektien lukumäärä","i390","Toteutettujen rakentamisen hankintojen kehityspr","","year",NA,NA,NA
"195","https://aplans.api.hel.ninja/v1/action/329/","action",329,"Menettelytavat intressien priorisointiin","a329","40",NA,NA,NA,NA,NA
"196","https://aplans.api.hel.ninja/v1/action/330/","action",330,"Hankesuunnittelun kehittäminen","a330","41",NA,NA,NA,NA,NA
"197","https://aplans.api.hel.ninja/v1/action/331/","action",331,"Elinkaaripäästöjen minimoiminen","a331","42",NA,NA,NA,NA,NA
"198","https://aplans.api.hel.ninja/v1/action/332/","action",332,"Plusenergiarakentaminen","a332","43",NA,NA,NA,NA,NA
"199","https://aplans.api.hel.ninja/v1/indicator/379/","indicator",379,"Plusenergiapilottien lukumäärä","i379",NA,"operational","year",NA,NA,NA
"200","https://aplans.api.hel.ninja/v1/action/335/","action",335,"Päästöttömät työmaakoneet","a335","46",NA,NA,NA,NA,NA
"201","https://aplans.api.hel.ninja/v1/action/336/","action",336,"Lämmön talteenoton parantaminen peruskorjauksissa","a336","47",NA,NA,NA,NA,NA
"202","https://aplans.api.hel.ninja/v1/action/337/","action",337,"Energiatehokkuus peruskorjauksissa","a337","48",NA,NA,NA,NA,NA
"203","https://aplans.api.hel.ninja/v1/action/339/","action",339,"HEKA:n kiinteistöautomaation uusiminen","a339","50",NA,NA,NA,NA,NA
"204","https://aplans.api.hel.ninja/v1/action/343/","action",343,"LED-katuvalaistus","a343","54",NA,NA,NA,NA,NA
"205","https://aplans.api.hel.ninja/v1/indicator/383/","indicator",383,"LED-lamppujen osuus katuvalaistuksessa","i383",NA,"","year",NA,NA,NA
"206","https://aplans.api.hel.ninja/v1/indicator/384/","indicator",384,"Ulkovalaistuksen energiankulutus","i384",NA,"","year",NA,NA,NA
"207","https://aplans.api.hel.ninja/v1/action/347/","action",347,"Asemakaavamääräysten kehittäminen","a347","58",NA,NA,NA,NA,NA
"208","https://aplans.api.hel.ninja/v1/action/348/","action",348,"Tontinluovutuksen energiatehokkuusehdot","a348","59",NA,NA,NA,NA,NA
